comuna,LEI,II,EI,idh,HDI
13101,0.7916721681102462,0.8731369138681019,0.9240986666666665,0.807,0.8612224786331003
13102,0.7828172274855182,0.8003426019267673,0.7134986666666666,0.743,0.7646156070742575
13103,0.7524468783774698,0.7503815144342327,0.6579608666666666,0.6829999999999999,0.7188738378251355
13104,0.7848716556262343,0.7606967256476325,0.7054259999999999,0.7070000000000001,0.7495844206924258
13105,0.777235991973991,0.780019166650946,0.6738759999999999,0.711,0.7420150643512355
13106,0.7908096862834122,0.7843783492402626,0.7291446666666667,0.735,0.767603760602891
13107,0.7263303616728273,0.7756310431980501,0.6417068666666667,0.737,0.7123750316405906
13108,0.8215508290049144,0.7511049022964621,0.7224926666666666,0.7090000000000001,0.7639345628811638
13109,0.8565699174966216,0.8357402699173558,0.8602353333333334,0.775,0.8507797438875497
13110,0.7730943183285796,0.824255157411454,0.7911553333333334,0.804,0.7958880273849108
13111,0.7635817892649339,0.7517212743601791,0.6688366666666667,0.6890000000000001,0.7267931506083918
13112,0.6737940167762572,0.7585853283088958,0.6425743333333334,0.679,0.6899511154393939
13113,0.8906467484939784,0.9489075586585645,0.9682226666666666,0.883,0.9353372117210819
13114,0.9097742586749534,0.9710558490277441,0.9880140000000001,0.9329999999999999,0.9556825375699972
13115,0.8311149444987538,0.9216213654980653,0.813262,0.912,0.8540462078302985
13116,0.7594065168258313,0.7845034889370971,0.6900426666666667,0.657,0.7435583379271185
13117,0.7877073652927261,0.7755187073293308,0.6979893333333334,0.715,0.7526654661791344
13118,0.8313343920212529,0.8422425517639278,0.8413459999999999,0.8059999999999999,0.8382930268975397
13119,0.768125510704614,0.823405953480187,0.8087700000000001,0.782,0.7997552046313077
13120,0.9003631947562933,0.9477368475070045,0.9933613333333333,0.86,0.946391687083812
13121,0.8155968912382215,0.7675652735506512,0.7337833333333333,0.708,0.771589379162036
13122,0.7498674823400852,0.790376339854907,0.6608190666666667,0.743,0.7316448822204695
13123,0.9173161571003533,0.9485456966658834,1.0440386666666666,0.9109999999999999,0.9684962901386782
13124,0.7083440001847195,0.7645654599558765,0.7238526666666666,0.735,0.7318740650157036
13125,0.6671438468950093,0.8387343359231381,0.763492,0.782,0.7531522872901115
13126,0.8139824321776606,0.7947605043034851,0.686444,0.723,0.7629313725917364
13127,0.7757658357945353,0.7423084494044507,0.6723046666666667,0.6970000000000001,0.7288313746411765
13128,0.725182521472911,0.7829498671955004,0.6748286666666666,0.7090000000000001,0.7263148694385396
13129,0.8142186854241649,0.8150182974636738,0.7470893333333333,0.7190000000000001,0.7914563839021366
13130,0.8555778053265565,0.8516909968280322,0.8160753333333334,0.765,0.840925016616441
13131,0.7671044849841936,0.7720125282883809,0.6053345333333333,0.679,0.7103811684229365
13132,0.9148312513697129,0.9968986001558386,1.0787786666666668,0.9490000000000001,0.9945839408322074
13201,0.7259250930233221,0.7739226100597637,0.7214153333333333,0.773,0.7400451852988967
13202,0.7499748617395675,0.8475578977616286,0.735982,0.807,0.776296732514975
13203,0.7895775670296219,0.8281981083559978,0.6544946,0.759,0.7536071916864455
13301,0.6673783709948091,0.7873502197691836,0.6252797999999999,,0.6900355934658952
13302,0.6834531388345558,0.7872691241956038,0.6884806666666667,,0.7181931142526276
13303,0.8163362410785092,0.7758955048150205,0.6290026666666666,,0.7358256678058043
13401,0.7434627886624635,0.7628215580175212,0.6763973333333334,0.7120000000000001,0.726598829207718
13402,0.7425699700756907,0.82233954003551,0.7373013333333333,,0.7664394631966628
13403,0.8011088011088011,0.7602278432528663,0.6014655333333334,,0.7155093938939706
13404,0.7389694793763368,0.7762183130346149,0.6550952666666666,,0.7216139982502754
13501,0.7875017728028841,0.7392008235297137,0.6423153333333335,,0.7204227584917618
13502,0.8769230769230769,0.7564699185777097,0.6173453999999999,,0.7426094293399447
13503,0.8119133967250406,0.7661927236080921,0.6470247333333334,,0.738339672135219
13504,0.8098461538461539,0.7563241553930613,0.6178077999999999,,0.7233047115056336
13505,0.8191066997518609,0.6902424501984646,0.5560894,,0.6799791349843611
13601,0.7949683877766069,0.8025224121611881,0.6868453333333334,,0.7595481791294875
13602,0.7407928738419238,0.7664587049903858,0.6798866666666666,,0.7281273768915778
13603,0.7845250639771187,0.8086233789363829,0.736952,,0.776123391457736
13604,0.7647303942509421,0.738679808718814,0.6591959333333333,0.728,0.7194374366843178
13605,0.7857316253951528,0.8019153053548944,0.698606,,0.7606969631731677
